"국어",8820,2834,2973,3014
"영어",18010,7222,6319,4469
"수학",23318,8495,8330,6492
"사회·과학",4206,1324,1435,1447
"논술",731,102,84,544
"컴퓨터",256,91,107,58
"제2외국어",361,100,138,122
"음악",2188,481,832,876
"미술",3322,479,1278,1566
"체육",1630,463,469,697
"취미·교양",1269,258,400,611
